叉倉	あぜくら
及己	ふたりしずか
友志良賀	ともしらが
友達	ともだち
双ぶ	ならぶ
双六	すごろく
双手	もろて
双瓶梅	にりんそう
双肌	もろはだ
双鸞菊	かぶとぎく
反古	ほご
反吐	へど
反嘴鴫	そりはししぎ
反故	ほご
反歩	たんぶ
反転	くるべき
反閉	へんばい
叔伯特	シューベルト
叔曼	シューマン
叔母	おば
叔父	おじ
叙利亜	シリア
叙里亜	シリア
叢時雨	むらしぐれ
口下手	くちべた
口分田	くぶんでん
口吟む	くちずさむ
口唱	クソウ
口女	くじめ
口惜しい	くやしい
口授	クジュ
口琴	びやぼん
口疾	くちど
口端	くちは
口舌	クゼツ
口許	くちもと
口説く	くどく
口風琴	ハーモニカ
古兵	ふるつわもの
古刃	ふるみ
古弗	コッホ
古矢刺	くじら
古論武士	コロンブス
叩瓮	たたきべ
叩頭虫	ぬかずきむし
只管	ひたすら
召人	めしゅうど／めしうど
可坊	べらぼう
可怕い	おっかない
可惜	あたら
可成	なるべく
可矣	かなり
可辟児	コペルニクス
台子	だいす
台湾鶩	ばりけん
台詞	せりふ
右京職	うきょうしき
右手	めて
右流左止	うるさし
右近左近	うこさこ
吃吃	くすくす
吃逆	しゃっくり
吃驚	びっくり
各各	おのお の
合子草	ごきづる
合標	あいじるし
合歓	ねむのき
合歓木	ねむのき
合決	あいじゃくり
合羽	カッパ
吉丁虫	たまむし
吉事	よごと
吉備奈仔	きびなご
吉左右	きっそう
吉方	えほう
吉言	よごと
同胞	はらから
名告	なのり
名残	なごり
吐綬鶏	しちめんちょう
吐魯蕃	トルファン
向日葵	ひまわり
向股	むかもも
君遷子	しなのがき
否む	いなむ
否否	いやいや
否然	いなぜ
否諾	いなせ
含羞む	はにかむ
含羞草	おじぎそう
吹喜月	ふきづき
吹聴	ふいちょう
吹螺	ほらがい
吹雪	ふぶき
吾亦紅	われもこう
吾妹	わぎも
呂宋	ルソン
呆気者	うつけもの
呉呂茶	クロアチア
呉服	くれはとり
呉桃	くるみ
呉竹	くれたけ
呉織	くれはとり
呉茱萸	からはじかみ
呉藍	くれない
告天子	ひばり
告文	コウモン
周章狼狽	どぎまぎ・あわてふためき
周防	すおう
呪師	ずし
呪禁	じゅごん
味漬	あまづけ
味酒	うまさけ
呷呷	ぐいぐい
和人	シャモ
和地関	バチカン
和妙	にきたえ
和寧	カラコルム
和尚菜	のぶき
和布	わかめ
和布刈	めかり
和布蕪	めかぶら
和幣	にきて
和御魂	にきみたま
和手	にこで
和林	カラコルム
和栲	にきたえ
和楽	からく
和毛	にこげ
和泉	いずみ
和稲	にしきね
和膚	にきはだ
和草	にこぐさ
和蘭	オランダ
和蘭陀	オランダ
和郎	わろ
和魂	にきみたま
咲華	さっか
品字梅	やつぶさうめ
品部	ともべ
哇的麻剌	グアテマラ
哈勒法	ハリファックス
哈府	ハバロフスク
哈爾浜	ハルビン
哈爾賓	ハルビン
哈維	ハワイ
哈馬哈	オマハ
哥倫比亜	コロンビア
哥力米	クリミア
哥塞牙	コルシカ
哥天百格	グーテンベルグ
哥摩羅	コモロ
哥木哈牙	コペンハーゲン
哥本哈干	コペンハーゲン
哥羅尼	ケルン
哨吶	チャルメラ
哲立科	ジェリコー
唐匣	からくしげ
唐土	もろこし
唐木香	もっこう
唐棣花	はねず
唐櫃	からびつ
唐芥子	トウがらシ
唐黍	もろこし
唖蝉	おしぜみ
唯今	ただいま
唯唯	へいへい
唱聞師	しょうもじ
啄木鳥	きつつき／けら
商人	あきんど
商陸	やまごぼう
問荊	すぎな
喀喀	おめおめ
善知鳥	うとう
善那	ジェンナー
喇嘛教	ラマキョウ
喋喋	べらべら
喜蛛	てながぐも
喜馬拉	ヒマラヤ
喜馬拉雅	ヒマラヤ
喝火	かっこ
喞筒	ポンプ
喫驚	びっくり
嗚呼	ああ
嘉魚	いわな
嘔吐く	えずく
嘴太鴉	はしぶとがらす
器楽曲	インストルメンタル
噯	あつかい
噯気	おくび
噴雪花	ゆきやなぎ
嚇法拿	ハバナ
囃子	はやし
囈語	うわごと
囚人	めしゅうど
囚獄	ひとや
四十雀	しじゅうから
四布	よの
四幅	よの
四斗樽	しとだる
四方	よも
四方山	よもやま
四方手	しおで
四照花	やまぼうし
四葩	よひら
四阿	あずまや
回回教	フイフイキョウ
回青橙	だいだい
因幡	いなば
団居	まどい
団扇	うちわ
図書寮	ずしょりょう
固唾	かたず
固関	こげん
国栖	くず
国覓	くにまぎ
国許	くにもと
国質	くにじち
国風	くにぶり
土公神	どくじん
土器	かわらけ
土塊	つちくれ
土師	はじ
土師器	はじき
土常山	あまちゃ
土弥尼加	ドミニカ
土当帰	のだけ／うど
土木通	つちあけび
土棲蜂	つちすがり
土産	みやげ
土竜	もぐら
土筆	つくし
土耳古	トルコ
土芋	ほど
土荊芥	ありたそう
土蜂	ゆするばち
土通草	つちあけび
圧状	おうじょう
圧酢	おしずし
圧面	べしみ
在処	ありか
在得	チャド
在所	ありか
地吹雪	ジふぶき
地梨	くさぼけ
地楡	われもこう
地潜	じむぐり
地祇	くにつかみ
地経	じだて
地緯	じよこ
地胆	つちはんみょう
地花菜	きんれいか
地蛍	つちぼたる
地血	あかね
地衣苔	うめのきごけ
地車祭	だんじりまつり
地銭	ぜにごけ
地錦	つた
地革利斯	チグリス
地革里斯	チグリス
坩堝	るつぼ
坪移	つぼなおし
垂とする	なんなん
垂水	たるみ
垂氷	たるひ
垂領	たりくび
垂髪	すべらかし
型録	カタログ
垢穢	くえ
垣内	かいと
垣衣	しのぶぐさ
埃及	エジプト
埃茸	ほこりたけ
埋大根	いけだいこ
